Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Categories
2025-08-05 19:00 Indoor_Cycling base,2025-08-05,19:00,2025-08-05,20:00,False,"* **Evening (19:00):** Indoor Cycling (60 minutes, Zone 2). Easy spin to promote recovery and improve aerobic base.

ğŸ“… Scheduled: Tuesday, August 05, 2025
â° Time: 7:00 PM
ğŸ“± Tip: Add to your calendar or set a reminder!",Garmin Connect Workout,"Fitness,Training"
2025-08-05 19:00 Cycling base,2025-08-05,19:00,2025-08-05,20:00,False,"* **Evening (19:00):** Indoor Cycling (60 minutes, Zone 2). Easy spin to promote recovery and improve aerobic base.

ğŸ“… Scheduled: Tuesday, August 05, 2025
â° Time: 7:00 PM
ğŸ“± Tip: Add to your calendar or set a reminder!",Garmin Connect Workout,"Fitness,Training"
2025-08-05 07:00 Swimming intervals,2025-08-05,07:00,2025-08-05,08:00,False,"* **Morning (07:00):** Pool Swim (60 minutes, Zone 2-3). Focus on drills: 15 minutes of drill work (e.g., fingertip drag, 6-kick cycle, catch-up drill), 20 minutes of continuous swimming at Zone 2, 25 minutes of interval training (8 x 200m at Zone 3 with 20-second rest). * **Evening (19:00):** Indoor Cycling (60 minutes, Zone 2). Easy spin to promote recovery and improve aerobic base.

ğŸ“… Scheduled: Tuesday, August 05, 2025
â° Time: 7:00 AM
ğŸ“± Tip: Add to your calendar or set a reminder!",Garmin Connect Workout,"Fitness,Training"
2025-08-06 19:00 Running base,2025-08-06,19:00,2025-08-06,20:15,False,"* **Evening (19:00):** Running (75 minutes, Zone 2). Easy, steady-state run focusing on maintaining a consistent aerobic pace.

ğŸ“… Scheduled: Wednesday, August 06, 2025
â° Time: 7:00 PM
ğŸ“± Tip: Add to your calendar or set a reminder!",Garmin Connect Workout,"Fitness,Training"
2025-08-06 07:00 Strength base,2025-08-06,07:00,2025-08-06,07:45,False,"* **Morning (07:00):** Strength Training (45 minutes). Focus on functional movements relevant to triathlon:  Squats (3 sets of 10 reps), Deadlifts (3 sets of 8 reps), Romanian Deadlifts (3 sets of 10 reps), Push-ups (3 sets to failure), Pull-ups (3 sets to failure, or lat pulldowns as alternative), Plank (3 sets, 30-60 seconds hold). * **Evening (19:00):** Running (75 minutes, Zone 2). Easy, stead

ğŸ“… Scheduled: Wednesday, August 06, 2025
â° Time: 7:00 AM
ğŸ“± Tip: Add to your calendar or set a remin",Garmin Connect Workout,"Fitness,Training"
2025-08-07 16:00 Running intervals,2025-08-07,16:00,2025-08-07,16:45,False,"* **Afternoon (16:00):** Running (45 minutes, Zone 4-5). Speed work on the track: 8 x 400m intervals at Zone 4 with 200m Zone 2 recovery jog between each interval.  Focus on maintaining consistent pace within intervals.

ğŸ“… Scheduled: Thursday, August 07, 2025
â° Time: 4:00 PM
ğŸ“± Tip: Add to your calendar or set a reminder!",Garmin Connect Workout,"Fitness,Training"
2025-08-07 09:00 Swimming intervals,2025-08-07,09:00,2025-08-07,10:00,False,"* **Morning (09:00):** Open Water Swim (60 minutes, Zone 2-3). Group swim with coach focusing on open-water technique and pacing.  Incorporate sighting drills. * **Afternoon (16:00):** Running (45 minutes, Zone 4-5). Speed work on the track: 8 x 400m intervals at Zone 4 with 200m Zone 2 recovery jog between each interval.  Focus on maintaining consistent pace within intervals.

ğŸ“… Scheduled: Thursday, August 07, 2025
â° Time: 9:00 AM
ğŸ“± Tip: Add to your calendar or set a reminder!",Garmin Connect Workout,"Fitness,Training"
2025-08-08 07:00 Cycling base,2025-08-08,07:00,2025-08-08,08:30,False,"* **Morning (07:00):** Cycling (90 minutes, Zone 2-3). Moderate intensity outdoor ride incorporating some gentle hills to build strength and endurance. * **Evening (18:00):** Yoga (60 minutes).  Focus on flexibility and mobility, particularly for the hips, shoulders, and hamstrings.

ğŸ“… Scheduled: Friday, August 08, 2025
â° Time: 7:00 AM
ğŸ“± Tip: Add to your calendar or set a reminder!",Garmin Connect Workout,"Fitness,Training"
2025-08-08 18:00 Yoga general,2025-08-08,18:00,2025-08-08,19:00,False,"* **Evening (18:00):** Yoga (60 minutes).  Focus on flexibility and mobility, particularly for the hips, shoulders, and hamstrings.

ğŸ“… Scheduled: Friday, August 08, 2025
â° Time: 6:00 PM
ğŸ“± Tip: Add to your calendar or set a reminder!",Garmin Connect Workout,"Fitness,Training"
2025-08-10 07:00 Running base,2025-08-10,07:00,2025-08-10,08:30,False,"* **Morning (07:00):** Running (90 minutes, Zone 2). Long, slow distance run (LSD) to improve aerobic capacity and endurance.  Pace should be conversational. * **Recovery:**  Ice bath (optional, 10-15 minutes), and proper nutrition and hydration. This plan incorporates the principles of progressive overload (gradually increasing training volume and intensity over time), periodization (cyclical tra

ğŸ“… Scheduled: Sunday, August 10, 2025
â° Time: 7:00 AM
ğŸ“± Tip: Add to your calendar or set a reminder",Garmin Connect Workout,"Fitness,Training"
